Ready made,Frozen foods,Alcohol,Fresh Vegetables,Milk,Bakery goods,Fresh meat,Toiletries,Snacks,Tinned Goods,GENDER,Age,MARITAL,CHILDREN,WORKING
1,0,0,0,0,0,0,0,1,0,Female,18 to 30,Widowed,No,Yes
1,0,0,0,0,0,0,1,0,0,Female,18 to 30,Separated,No,Yes
1,0,0,0,0,0,0,1,1,0,Male,18 to 30,Single,No,Yes
1,0,0,0,1,1,0,0,0,0,Female,18 to 30,Widowed,No,Yes
1,0,0,0,0,0,0,0,0,0,Female,18 to 30,Separated,No,Yes
1,0,0,0,0,1,0,0,1,1,Male,18 to 30,Single,No,No
1,0,0,0,0,1,0,0,0,0,Female,18 to 30,Single,No,No
1,0,0,0,0,0,0,0,0,0,Female,18 to 30,Widowed,No,No
1,0,0,0,1,0,0,0,1,1,Female,18 to 30,Single,No,No
1,0,0,0,0,0,0,0,0,0,Female,18 to 30,Single,No,No
1,0,0,0,0,0,0,0,0,0,Female,18 to 30,Single,No,No
1,1,1,0,1,1,0,0,1,0,Female,18 to 30,Single,No,No
1,0,0,0,0,0,0,0,0,0,Male,18 to 30,Widowed,No,No
1,0,0,0,0,0,0,0,1,1,Female,18 to 30,Single,No,No
1,0,0,0,0,0,0,0,0,0,Male,18 to 30,Single,No,No
1,0,1,0,0,0,0,0,0,0,Male,18 to 30,Single,No,No
1,0,0,0,0,0,0,0,0,0,Male,18 to 30,Single,No,No
1,0,0,0,0,0,0,0,1,0,Female,18 to 30,Single,No,No
1,0,0,0,0,1,0,0,0,1,Male,18 to 30,Single,No,No
1,0,0,1,0,0,0,0,0,1,Female,18 to 30,Single,No,No
1,0,0,0,0,0,0,0,0,0,Female,18 to 30,Single,No,No
1,0,0,0,0,0,0,0,0,0,Male,18 to 30,Single,No,No
1,0,0,0,0,0,0,0,0,0,Female,18 to 30,Widowed,No,No
1,0,0,0,0,1,0,1,1,0,Female,18 to 30,Single,No,No
1,0,0,0,0,0,0,0,1,0,Male,18 to 30,Married,No,Yes
1,0,1,0,1,0,0,0,1,0,Male,18 to 30,Widowed,No,Yes
1,0,0,0,0,0,0,0,0,0,Female,18 to 30,Widowed,Yes,Yes
